0.774919	 -0.053891
0.774580	 -0.067591
0.774242	 -0.081758
0.773903	 -0.096355
0.773565	 -0.111325
0.773226	 -0.126585
0.772887	 -0.142023
0.772549	 -0.157485
0.772210	 -0.172768
0.771872	 -0.187616
0.771533	 -0.201705
0.771194	 -0.214641
0.770856	 -0.225954
0.770517	 -0.235104
0.770179	 -0.241496
0.769840	 -0.244499
0.769501	 -0.243491
0.769163	 -0.237910
0.768824	 -0.227312
0.768486	 -0.211434
0.768147	 -0.190239
0.767808	 -0.163943
0.767470	 -0.133003
0.767131	 -0.098083
0.766793	 -0.059990
0.766454	 -0.019596
0.766115	 0.022230
0.765777	 0.064681
0.765438	 0.107058
0.765100	 0.148784
0.764761	 0.189409
0.764422	 0.228607
0.764084	 0.266155
0.763745	 0.301921
0.763407	 0.335839
